1    942833  0.6162809927079057  1647983  0.6518751883851134
2  a  6621  0.004328128554209622  16923  0.006694247697647134
3  aa  78  5.1311348109258525e-05  292  0.0001157010932467744
4  aaa  43  2.8433676977741986e-05  16  6.526728336997531e-06
5  aaaa  0  3.268238733073792e-07  2  9.888982328784137e-07
6  aaaaaa  0  3.268238733073792e-07  4  1.7800168191811448e-06
7  aaaaaaa  0  3.268238733073792e-07  2  9.888982328784137e-07
8  aaaaaaaaaa  5  3.595062606381171e-06  0  1.9777964657568277e-07
9  aaaaaaaaaaaaaaa  0  3.268238733073792e-07  1  5.933389397270483e-07
10  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  0  3.268238733073792e-07  5  2.17557611233251e-06
11  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaach  0  3.268238733073792e-07  1  5.933389397270483e-07
12  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafhzwiaaaaaaaadzuqabaaaa  0  3.268238733073792e-07  1  5.933389397270483e-07
13  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsu  0  3.268238733073792e-07  1  5.933389397270483e-07
14  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaazgvzywaaaaaaaaausuvdidyxoty  0  3.268238733073792e-07  1  5.933389397270483e-07
15  aaaaaaaaaaaaaaaaaaaaaaabaaaaaaaaaaaaaajmaaaarqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  0  3.268238733073792e-07  1  5.933389397270483e-07
16  aaaaaaaaaaaaaaaaaaaaaaary  0  3.268238733073792e-07  1  5.933389397270483e-07
17  aaaaaaaaaaaaaaaaaqiqesbb  0  3.268238733073792e-07  1  5.933389397270483e-07
18  aaaaaaaaaaaaaaaberahmuh  0  3.268238733073792e-07  1  5.933389397270483e-07
19  aaaaaaaaaaaaaab  0  3.268238733073792e-07  1  5.933389397270483e-07
20  aaaaaaaaaaaaaaeaapbwaaeaaaaa  0  3.268238733073792e-07  1  5.933389397270483e-07
21  aaaaaaaaaaaaaduaaabpaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsu  0  3.268238733073792e-07  1  5.933389397270483e-07
22  aaaaaaaaaaaaoejjtqptcljlc  0  3.268238733073792e-07  1  5.933389397270483e-07
23  aaaaaaaaaaababeh  0  3.268238733073792e-07  1  5.933389397270483e-07
24  aaaaaaaaaaababeqqsahmvh  0  3.268238733073792e-07  1  5.933389397270483e-07
25  aaaaaaaaaabiaaaavgaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  0  3.268238733073792e-07  1  5.933389397270483e-07
26  aaaaaaaaaadz  1  9.804716199221375e-07  0  1.9777964657568277e-07
27  aaaaaaabaaireiaqisixqqmyuyetqmh  0  3.268238733073792e-07  1  5.933389397270483e-07
28  aaaaaaabagadbbefehmuiravicjaqte  1  9.804716199221375e-07  0  1.9777964657568277e-07
29  aaaaaaaberasaiewmsbbuubqyf  1  9.804716199221375e-07  0  1.9777964657568277e-07
30  aaaaaaatpp  0  3.268238733073792e-07  1  5.933389397270483e-07
31  aaaaaacaaqaaaaebap  0  3.268238733073792e-07  1  5.933389397270483e-07
32  aaaaad  0  3.268238733073792e-07  4  1.7800168191811448e-06
33  aaaaaeaesaaaaaqacaswaaaabaai  0  3.268238733073792e-07  1  5.933389397270483e-07
34  aaaaaf  0  3.268238733073792e-07  2  9.888982328784137e-07
35  aaaaanyway  1  9.804716199221375e-07  0  1.9777964657568277e-07
36  aaaaaqataaaabgaaaaaaathcsu  0  3.268238733073792e-07  3  1.3844575260297793e-06
37  aaaaaresahahidbraxmxikbbugh  1  9.804716199221375e-07  0  1.9777964657568277e-07
38  aaaaasaq  0  3.268238733073792e-07  1  5.933389397270483e-07
39  aaaaavqaaaaebaaaadwbbagqabwbiagua  0  3.268238733073792e-07  1  5.933389397270483e-07
40  aaaabaaaaaaaaaaaaaaaaaaaaaaaaaaeaaaaaaaaaaaaaag  0  3.268238733073792e-07  1  5.933389397270483e-07
41  aaaabrfbfaaaaaaa  1  9.804716199221375e-07  0  1.9777964657568277e-07
42  aaaaeagwabwbnag  0  3.268238733073792e-07  1  5.933389397270483e-07
43  aaaayvbdwqylzk  0  3.268238733073792e-07  1  5.933389397270483e-07
44  aaabagmeequsitetfdjbuxgbofbcyzgx  0  3.268238733073792e-07  1  5.933389397270483e-07
45  aaabagmqetesiuh  0  3.268238733073792e-07  1  5.933389397270483e-07
